Index,X,Y,Z
1779,1456.832,154.99951,3044.1836
1783,1269.2856,135.24023,2016.5939
1789,161.42502,17.27432,-82.81533
1791,1507.6626,161.74911,-58.75621
1792,2319.6016,249.15689,-1262.2329
1798,1689.757,182.24826,-1257.458
1802,2151.6216,232.36292,1903.039
1808,1941.5255,210.5834,-1111.7556
1809,1746.0251,189.41483,-792.4689
1813,3355.5852,364.93677,-1127.5415
1814,1953.9386,212.519,2505.8645
1815,2182.603,237.43736,-455.0966
1820,1413.721,154.4264,-516.0309
1821,800.9424,87.50373,-722.56604
1823,4312.5957,471.60007,4499.068
1824,541.5005,59.2229,-1033.4492
1833,945.505,103.99574,1264.4413
1836,517.25116,56.89746,-1136.5359
1842,1984.0593,218.99503,-4249.357
1844,217.16086,24.01728,-402.62415
1854,3369.6904,375.05215,3311.469
1858,2294.981,256.85208,-5643.3447
1861,1784.665,200.20567,1216.6716
1865,1359.5176,152.72179,-1713.9307
1867,1255.2903,141.21109,534.7741
1870,1847.4639,208.11436,-737.271
1871,737.4149,83.11892,-911.12146
1876,1369.4052,154.9331,1110.5465
1879,3041.4927,344.5712,9313.832
1880,1357.0197,153.84059,2980.71
1882,601.57434,68.22179,69.3119
1886,3963.6804,450.27295,-939.70996
1887,5312.0244,603.7368,-568.3067
1888,2518.954,286.29895,-1508.1511
1891,877.59814,99.83681,305.43738
1896,1671.4451,190.76846,1214.1718
1902,958.17065,109.60287,-224.03633
1904,523.8391,59.96031,396.37152
1911,897.46936,103.04681,-1141.3646
1913,980.70416,112.60763,1507.3273
1914,171.06924,19.64466,-164.43575
1915,1456.4463,167.33221,1709.7963
1921,190.83653,21.98282,-174.83284
1925,4545.8267,525.21704,-1548.3466
1927,2534.4077,292.86914,1175.3403
1930,1251.256,144.7745,2013.8109
1931,1002.43884,116.01417,2350.0413
1932,749.2862,86.84149,-626.25653
1936,2935.3054,341.7206,-1075.2012
1938,1373.8014,160.31245,-1.19572
1940,365.29034,42.70932,214.04759
1952,1131.6669,133.30705,187.0023
1957,4344.83,512.09143,783.132
1960,252.72372,29.88575,-1004.5352
1967,1336.3029,158.55356,-503.4857
1971,202.40196,24.0475,-567.6515
1981,1555.307,185.36029,609.3602
1991,1577.2225,188.38748,-759.24976
1993,1588.279,189.72395,-2684.5854
1996,2616.8425,313.1906,-1769.7885
1997,1623.0715,194.52837,80.35306
1999,1405.2074,168.5961,-2764.3547
2014,1025.3849,124.20437,-378.68625
2016,273.19122,33.10505,-841.0813
2018,711.19116,86.29529,-210.9785
2020,4359.2056,529.6645,1782.7198
2025,1187.1378,144.72675,1262.6682
2029,2189.807,267.26907,718.73224
2031,1002.9685,122.57027,1243.8818
2032,1763.1511,215.57504,774.98865
2042,3606.478,443.18213,1859.2024
2043,1431.8754,175.96327,-1703.3004
2044,1346.7948,165.58644,-1797.5995
2048,3641.2546,450.2836,6128.5327
2050,668.1109,82.70545,-948.0878
2052,1040.3505,128.82312,-582.0436
2054,3014.157,373.3426,2751.7334
2056,713.14545,88.43974,383.0648
2062,299.5859,37.25116,-111.8836
2065,876.8439,109.37992,-739.23065
2066,1954.0164,243.92278,1318.199
2068,1856.9131,231.91762,1189.3182
2069,3701.8103,462.98373,464.02658
2078,847.348,106.67172,-643.81165
2080,790.29065,99.55242,-967.40564
2081,2763.3638,348.60175,37.29488
2083,2035.2445,257.3543,-3666.834
2084,1483.0481,187.55144,-1725.6771
2086,2561.8735,324.1604,-1184.2695
2088,1221.9722,154.7487,-1214.9471
2096,2423.3215,309.01257,-757.00726
2098,1317.7391,168.1947,-817.9656
2103,4185.2856,535.52496,2.99899
2114,85.44559,10.98615,538.7091
2120,871.5059,112.16659,4922.184
2124,934.06226,120.43093,-677.3772
2127,1369.4629,176.76251,2121.923
2131,471.18225,60.9374,-92.49897
2142,2652.054,344.88367,-187.71985
2152,2174.3757,284.8076,-12.27975
2154,1390.9282,182.24187,-925.6159
2164,3050.0684,400.96088,-1584.0936
2169,2091.927,275.41245,-542.67896
2172,540.2984,71.42605,311.51227
2173,2184.1824,288.9253,-358.2348
2174,643.09784,85.07871,55.1584
2180,1929.5397,255.69978,802.2634
2181,3159.2688,418.71124,2285.258
2190,1334.5941,177.57013,-729.7225
2197,284.56357,38.01349,-321.26245
2199,1089.9119,145.61166,3494.0647
2205,941.62885,126.0101,-783.6551
2206,1321.1471,176.80345,838.63763
2208,1473.4884,197.2101,665.1965
2211,2815.3545,377.89294,-693.26556
2212,2817.2622,378.18378,2078.0632
2214,3657.279,491.44257,1185.7191
2215,965.25903,129.80428,-328.16614
2220,3661.8884,493.13425,-612.2077
2225,1710.4758,230.94186,2664.4028
2230,1643.4122,222.34883,3747.842
2236,2542.1067,344.97977,-2058.9612
2238,76.80802,10.42799,259.52795
2239,3047.0505,413.96643,-2384.1965
2248,3125.2205,426.04718,-2019.6256
2250,767.974,104.74259,1136.3419
2251,3430.838,467.9073,567.35754
2252,987.6677,134.715,1556.6162
2254,780.4071,106.51007,-140.07281
2256,1171.2023,159.88892,-1342.7272
2258,1132.7648,154.835,-1040.0645
2263,2876.2888,394.19592,2798.3337
2265,1416.8806,194.55894,-547.5068
2267,2214.0405,304.3504,-2128.7046
2270,1452.3899,199.93283,1187.676
2272,1201.0065,165.51425,-1251.1235
2274,345.58502,47.67165,-398.5461
2277,958.51154,132.26846,642.4216
2283,576.64197,79.8282,-43.59011
2285,186.4771,25.82977,-368.81104
2287,1508.2157,208.98848,1247.6447
2291,2327.7214,323.01303,674.7879
2292,4963.7637,689.27637,808.1863
2298,747.7958,104.0681,173.10593
2299,1262.2206,175.7349,83.66794
2301,3311.0952,461.27277,1182.6638
2306,1482.2714,207.01944,465.56534
2310,865.1862,121.02261,285.6296
2321,4013.1213,565.26434,6007.1035
2322,1725.8033,243.14668,-573.7605
2327,668.61444,94.31826,-147.16412
2330,1318.471,186.26483,1434.0786
2331,3397.0576,480.18256,-1537.042
2333,1222.4095,173.0705,-623.5374
2338,419.09216,59.57692,686.42346
2343,1768.011,251.5878,713.4886
2347,1585.3832,225.96307,1519.4004
2353,2940.8276,420.1363,549.8663
2354,1985.5015,283.74487,682.58716
2358,3254.354,465.66653,4074.784
2369,1623.0208,233.30254,1320.4188
2373,668.7067,96.2049,-553.4773
2378,2852.2483,411.34244,-22.41645
2384,934.4434,135.04408,-2355.925
2386,1060.8875,153.49216,310.76093
2389,1546.2137,224.1881,-679.07336
2391,781.3212,113.42551,-438.97446
2392,973.0569,141.3285,1192.4976
2393,1592.8524,231.35474,1079.388
2394,259.3985,37.71801,236.03188
2395,2211.3936,321.84064,-1859.2129
2397,1371.8937,199.76253,184.62827
2398,5737.4663,835.8187,-8025.7393
2402,899.184,131.15765,-1855.5596
2403,1395.5883,203.57922,-1509.8756
2414,792.6808,116.01959,197.37932
2415,4037.7163,591.1821,-1444.862
2416,489.27094,71.641,1434.6206
2418,1037.0325,152.19891,-902.4615
2421,830.0909,121.99956,-247.99097
2423,613.92737,90.29796,99.98472
2428,1812.1099,266.8325,3520.2412
2429,557.9787,82.24696,-442.45157
2431,1737.2048,256.342,3109.906
2432,3620.5498,534.30005,859.77686
2433,3128.355,462.0346,-1548.6301
2437,1203.878,177.92564,-595.88855
2441,951.2872,140.82362,83.25238
2443,1419.927,210.20865,-814.04016
2450,2726.5967,405.27997,3640.2874
2452,5955.2495,886.1837,1177.9324
2453,2530.1196,376.66614,1217.2585
2455,2306.2285,343.46613,-1538.1298
2456,428.9961,63.90096,2999.1023
2461,1335.7146,199.39465,47.51586
2467,4837.0127,725.5995,325.63254
2469,1164.0056,174.68024,122.83721
2470,2867.5947,430.4562,3189.1506
2475,1798.8501,270.25974,1121.0741
2481,2753.4348,414.82602,1148.4553
2498,286.77594,43.61783,559.382
2509,1744.7908,267.38052,604.10657
2512,659.4309,101.17393,-1702.0757
2515,1054.4053,161.92458,253.57173
2519,2019.2897,310.62518,-1724.8687
2529,772.5455,119.11299,-1823.6627
2533,2054.528,317.6931,1557.0748
2535,1670.4346,258.45505,-3189.942
2545,727.869,112.89536,-411.82294
2551,1415.1152,220.22328,1157.8075
2553,475.58475,74.16706,790.98505
2555,1008.3649,157.34547,213.9542
2556,1470.5494,229.47424,111.77011
2558,1238.8401,193.48363,899.6312
2564,218.66489,34.21359,-184.05011
2567,1450.419,226.98677,1089.4535
2569,3143.4202,492.0787,4298.0845
2570,3502.591,548.7973,8742.441
2573,6858.0605,1075.2266,3716.318
2575,1319.8876,207.0331,917.52466
2579,721.06274,113.27298,-105.30649
2581,430.83267,67.69882,-1306.5444
2598,3345.3154,527.9423,1885.0078
2602,2179.6106,344.24487,-1305.9161
2610,282.66428,44.78836,-490.09506
2611,2254.0137,357.19443,-1393.2068
2612,442.79355,70.1928,-43.72712
2614,1225.8148,194.41582,-764.5559
2619,572.04596,90.85367,822.5676
2621,444.84918,70.68461,-189.73503
2622,714.22174,113.52616,-274.1148
2626,1331.9956,212.16599,-680.1523
2629,1584.5359,252.95767,-509.35007
2635,4103.213,656.65784,2041.0586
2636,1296.5796,207.51604,873.8723
2637,3825.009,612.27356,-8224.297
2641,780.0989,125.05239,-395.2077
2645,2020.855,324.3199,-5704.5513
2651,1153.1676,185.51823,1740.9283
2658,371.3631,60.01943,430.13745
2663,2493.31,403.35175,2900.6228
2664,1331.2382,215.45863,1324.6995
2671,2900.6284,470.18063,1380.8295
2673,2783.151,451.53894,-554.5703
2677,1593.9622,259.08594,455.3531
2683,1057.4357,172.07892,1469.015
2686,1857.3337,303.28726,-923.78156
2687,756.7725,123.59534,-3975.3042
2691,2374.8894,388.51398,-2604.568
2694,5068.135,830.70496,4818.4316
2699,689.6616,113.29274,-497.05725
2703,865.72687,142.38518,-712.0512
2705,2633.8672,433.46594,-948.6584
2707,431.82074,71.08097,-1705.3036
2721,1399.3425,231.99046,-678.40497
2723,1253.474,208.29774,1165.3612
2726,2387.333,396.97708,1186.7303
2727,5763.3687,960.4363,244.33015
2731,2523.9536,420.70557,2792.972
2734,1695.6973,283.13824,1929.0907
2741,1064.767,177.99251,-2726.618
