Index,X,Y,Z
62943,-977.47664,-617.00556,1106.27463
62944,-1649.42231,-1041.18983,-1002.24741
62945,-1147.07004,-724.13505,-190.74431
62946,-1243.21877,-785.39898,-2894.64343
62947,-413.86478,-261.47831,316.76329
62948,-1005.04589,-635.05527,258.01028
62949,-283.91586,-179.38852,-741.1278
62950,-580.3431,-366.75176,1073.06944
62951,-1513.14176,-956.44753,232.01314
62952,-1312.73587,-829.86966,1723.74707
62953,-2961.38033,-1872.3074,3359.9985
62954,-452.55922,-286.15133,-222.19643
62955,-1696.87512,-1073.05858,505.65532
62956,-4266.32983,-2699.66457,-133.57306
62957,-1056.23028,-668.571,2750.40463
62958,-4192.33886,-2653.68382,2360.4743
62959,-2938.47801,-1860.01541,-4372.15048
62960,-2183.92481,-1382.40895,-1739.04973
62961,-173.5912,-109.91074,826.6379
62962,-605.95522,-383.66002,15.12055
62963,-783.34085,-496.02224,-49.60421
62964,-1351.3556,-855.79016,-2447.67292
62965,-847.13767,-536.54052,-859.96139
62966,-1406.65235,-890.94126,-3708.38391
62967,-569.41156,-360.71914,-469.9272
62968,-1662.58375,-1053.26141,1653.76036
62969,-3272.50969,-2073.57095,-8224.08721
62970,-552.66442,-350.19637,1758.39406
62971,-472.82846,-299.60949,101.15625
62972,-1050.27637,-665.54377,-986.66036
62973,-310.96671,-197.06565,-220.59845
62974,-849.7241,-538.5455,-1456.20265
62975,-1791.14501,-1135.25033,103.62528
62976,-652.05951,-413.35272,618.31731
62977,-354.85215,-224.9793,899.78363
62978,-458.77316,-290.88116,-204.35207
62979,-1371.77436,-869.875,-2658.2755
62980,-481.24557,-305.18931,212.73982
62981,-1137.21959,-721.21942,412.68435
62982,-3453.41644,-2190.85432,-4373.84313
62983,-1320.54328,-837.91182,-1966.48018
62984,-687.61154,-436.3316,-887.91548
62985,-620.34522,-393.66998,-718.65627
62986,-5028.61432,-3191.78981,-7316.08877
62987,-457.30874,-290.27277,151.45224
62988,-2018.33898,-1281.17796,-927.10031
62989,-958.15829,-608.34037,205.40978
62990,-6808.49143,-4323.62604,3449.26922
62991,-2838.73601,-1802.96777,864.41033
62992,-3302.87138,-2098.07335,1895.45103
62993,-536.88671,-341.18377,485.124
62994,-643.60052,-409.03251,462.86457
62995,-1156.07963,-734.74871,453.73572
62996,-2212.60326,-1406.53296,940.82181
62997,-2040.59924,-1297.46868,-1582.91811
62998,-4348.34583,-2767.44615,-58.59685
62999,-281.04578,-178.89697,-449.22838
63000,-1966.62315,-1252.18357,1637.45163
63001,-1575.15298,-1002.95683,375.6181
63002,-965.32264,-614.67311,-143.76247
63003,-1696.42815,-1080.26556,141.18783
63004,-2774.84986,-1767.34958,1454.63754
63005,-1097.35551,-699.06137,1122.22101
63006,-3091.63959,-1969.5987,4734.85766
